Time,efergyWatts,owlWatts,fuelGallonsBurned,oduTemp,oduDewpoint,iduTemp,iduDewpoint,ext1Temp,ext1Dewpoint,ext2Temp,ext2Dewpoint,ext3Temp,ext3Dewpoint,ext4Temp,ext4Dewpoint,iduSealevelPressure
1412020800,702,91,0.32,69.4,53.8,72.3,53.9,71.1,59.2,83.4,62.0,70.5,60.1,69.5,60.1,29.62
1412035200,627,54,0.05,60.4,51.2,72.7,54.5,70.8,58.6,73.2,51.1,70.7,60.1,69.5,59.9,29.62
1412049600,878,53,0.05,57.4,52.1,71.9,52.8,69.9,57.5,63.1,44.9,71.0,59.7,69.0,59.1,29.62
1412064000,434,64,0.11,56.6,52.5,70.7,51.2,68.7,56.0,59.6,43.5,70.3,58.4,68.2,58.0,29.62
1412078400,609,57,0.09,56.2,52.6,69.5,49.6,67.8,54.8,58.2,43.4,69.1,57.0,67.4,57.0,29.62
1412092800,576,54,0.04,56.3,52.3,68.5,48.4,67.4,54.1,58.9,45.1,68.2,55.6,66.6,55.8,29.62
1412107200,742,99,0.39,57.7,52.3,67.9,47.8,67.2,53.8,63.5,49.2,67.7,55.4,66.4,55.6,29.62
1412121600,732,52,0.03,58.1,52.7,67.5,47.7,67.7,54.9,64.1,49.1,67.7,56.0,66.7,56.1,29.62
1412136000,560,53,0.04,58.0,53.3,67.0,47.2,67.1,54.1,60.5,46.2,68.5,57.1,66.3,55.7,29.62
1412150400,546,54,0.05,57.7,53.3,66.4,46.7,66.4,53.1,58.6,44.9,68.3,56.8,65.8,55.1,29.62
1412164800,494,57,0.09,57.3,52.5,65.8,46.2,65.8,52.5,57.6,44.5,67.7,56.4,65.5,54.6,29.62
1412179200,906,63,0.10,57.2,53.1,65.4,46.1,65.9,53.1,57.9,45.6,66.9,54.7,65.0,54.3,29.62
1412193600,636,65,0.10,57.4,54.6,65.0,46.1,66.2,53.4,59.0,46.9,66.5,54.4,64.8,54.3,29.62
1412208000,972,79,0.17,57.2,54.7,64.7,45.6,66.5,54.1,58.6,46.5,66.0,54.5,65.0,54.8,29.62
1412222400,639,50,0.00,57.2,55.0,64.3,45.6,66.3,53.5,57.7,45.9,66.1,55.1,65.4,55.1,29.62
1412236800,584,57,0.08,56.1,53.8,63.9,45.5,65.5,52.6,56.9,45.6,66.3,55.1,65.0,54.2,29.62
1412251200,636,62,0.07,55.2,53.0,63.4,45.0,64.8,51.8,56.0,44.9,65.9,55.0,64.5,53.6,29.62
1412265600,646,78,0.19,55.5,52.9,63.1,44.6,65.1,52.2,58.0,47.2,65.2,53.7,64.2,53.5,29.62
1412280000,498,89,0.21,56.3,51.5,63.2,44.6,65.1,52.1,63.2,51.3,65.2,54.0,63.9,53.3,29.62
1412294400,1468,116,0.41,54.7,48.3,63.3,44.8,66.2,53.3,61.4,48.9,65.6,53.8,67.0,55.4,29.62
1412308800,931,65,0.07,50.1,45.2,62.8,43.9,65.7,52.8,52.3,41.3,65.6,54.4,65.7,54.5,29.62
1412323200,490,53,0.03,48.1,43.6,61.7,42.6,64.0,50.7,47.9,38.3,65.4,53.8,64.2,52.7,29.62
1412337600,599,54,0.04,46.7,42.5,60.4,41.1,62.6,48.8,45.3,36.5,64.1,52.5,62.8,51.0,29.62
1412352000,1990,94,0.21,52.5,47.1,59.6,40.1,62.6,48.7,52.3,43.8,63.1,50.7,62.6,50.7,29.62
1412366400,974,49,0.00,59.7,47.4,61.5,43.6,63.7,49.5,77.7,62.9,64.0,51.4,63.0,51.0,29.62
1412380800,885,95,0.33,56.6,45.9,62.9,45.3,63.8,50.1,70.3,51.8,64.2,52.4,62.8,51.0,29.62
1412395200,805,53,0.04,54.4,47.7,62.8,44.8,63.6,50.2,59.7,43.9,64.7,53.8,62.7,51.2,29.62
1412409600,391,63,0.07,54.0,49.7,62.5,44.2,62.9,49.1,56.5,41.9,65.3,54.8,62.3,50.9,29.62
1412424000,577,53,0.04,54.6,51.5,62.0,43.6,62.4,48.7,55.5,41.5,64.4,53.6,62.0,50.5,29.62
1412438400,815,80,0.17,57.4,54.9,61.7,43.7,62.8,49.2,58.3,45.3,63.4,51.6,62.0,50.5,29.62
1412452800,2576,112,0.35,60.0,57.9,62.1,45.6,65.6,51.4,64.2,51.8,63.7,52.1,64.0,52.6,29.62
1412467200,1248,80,0.24,59.7,57.8,62.7,47.2,66.0,52.2,63.3,51.2,65.2,55.4,64.4,53.0,29.61
1412481600,578,50,0.00,59.7,58.1,62.8,46.9,66.1,52.2,60.9,49.5,67.2,57.4,64.4,53.2,29.55
1412496000,679,56,0.07,59.5,58.0,62.8,46.6,66.1,52.1,60.2,49.3,66.9,56.4,64.4,53.3,29.52
1412510400,632,62,0.09,54.1,52.0,62.6,46.0,65.5,51.5,56.0,46.0,66.5,55.9,64.3,53.4,29.59
1412524800,817,86,0.24,54.3,46.6,62.1,45.1,65.2,51.3,56.2,46.6,65.8,54.4,64.1,53.1,29.69
1412539200,412,53,0.05,59.5,37.9,63.5,47.3,65.4,51.2,76.2,60.4,65.8,53.5,63.9,53.1,29.73
1412553600,752,124,0.45,55.8,36.1,64.2,47.6,66.1,51.9,67.5,47.4,66.0,53.3,66.7,54.7,29.80
1412568000,708,63,0.08,47.9,37.2,63.3,45.3,65.1,50.8,51.5,36.1,65.9,53.8,65.7,53.5,29.90
1412582400,508,52,0.02,43.9,34.9,61.6,42.6,63.2,48.4,45.3,32.6,65.4,53.0,63.7,51.2,29.97
1412596800,621,53,0.04,41.3,33.8,59.5,40.0,61.4,46.2,41.5,30.6,63.6,51.0,61.9,49.0,30.05
1412611200,769,63,0.08,49.5,38.6,58.2,38.7,60.9,45.6,50.1,40.3,62.1,48.9,61.4,48.4,30.12
1412625600,563,86,0.27,61.2,36.6,60.1,41.8,62.2,47.0,77.5,59.8,62.3,49.3,61.4,48.6,30.11
1412640000,776,212,0.45,56.5,42.0,61.5,43.8,64.0,49.3,63.0,43.2,63.5,50.7,66.4,52.7,30.13
1412654400,732,49,0.00,54.6,43.8,61.3,43.0,64.2,49.1,55.5,38.1,65.0,53.0,66.1,51.8,30.17
1412668800,521,53,0.04,54.0,47.0,60.7,42.0,63.1,48.1,51.5,35.8,64.4,51.9,63.7,50.4,30.16
1412683200,556,65,0.09,56.4,52.3,60.2,41.5,62.6,47.5,52.7,38.3,63.9,51.9,62.8,49.6,30.14
1412697600,722,56,0.07,63.0,56.0,60.2,41.9,63.8,49.0,61.9,49.3,63.4,51.2,63.0,50.2,30.10
1412712000,584,80,0.20,66.3,55.4,61.5,44.9,65.7,54.8,72.8,57.9,64.4,53.5,63.9,53.2,30.03
1412726400,658,72,0.20,66.3,51.4,62.8,47.7,66.2,54.8,72.4,56.5,65.9,56.5,65.0,54.8,30.00
1412740800,728,53,0.04,63.0,50.8,63.3,47.5,66.0,53.9,64.3,49.3,66.4,56.5,65.2,54.8,30.00
1412755200,578,63,0.07,61.4,55.1,63.5,47.0,65.6,53.4,60.2,46.4,67.2,57.0,65.1,54.4,29.94
1412769600,635,56,0.07,62.5,58.9,63.6,46.8,65.6,53.1,60.9,48.1,67.1,56.9,65.1,54.3,29.79
1412784000,493,102,0.11,67.0,51.8,64.4,47.9,66.3,54.1,72.8,59.7,67.0,55.5,65.5,55.1,29.71
1412798400,567,53,0.04,68.8,45.9,65.8,50.6,67.2,51.8,81.2,62.7,67.2,55.3,65.9,54.8,29.68
1412812800,1034,65,0.13,64.5,41.3,66.9,51.4,67.0,49.0,72.2,50.5,67.4,55.3,66.1,53.1,29.71
1412827200,651,54,0.05,58.4,40.6,66.7,50.1,66.2,49.3,60.1,42.2,67.7,55.2,65.7,52.6,29.79
1412841600,562,62,0.07,54.3,33.5,65.9,48.1,65.5,49.4,54.5,38.0,67.7,55.4,65.3,52.8,29.85
1412856000,671,55,0.07,49.0,30.9,64.2,45.4,64.2,48.2,48.4,33.8,66.6,54.2,64.5,51.6,29.90
1412870400,778,91,0.25,54.1,32.9,62.9,43.3,63.9,47.1,54.0,40.8,65.3,51.8,63.6,50.1,29.93
1412884800,606,70,0.16,61.0,33.0,63.9,44.7,64.4,46.4,74.1,52.6,65.3,51.7,63.2,49.0,29.88
1412899200,953,65,0.07,58.3,33.3,64.2,44.7,64.5,47.1,65.3,42.0,65.0,51.5,63.5,49.6,29.88
1412913600,851,71,0.12,51.4,34.1,63.6,43.8,64.3,47.5,53.0,33.5,64.9,52.0,63.3,50.1,29.93
1412928000,532,53,0.04,47.1,33.0,63.0,42.4,62.7,45.9,46.5,29.6,64.7,51.8,62.4,49.0,29.97
1412942400,597,53,0.04,43.9,32.3,62.4,41.8,61.2,43.9,43.0,28.5,63.1,50.0,61.3,47.3,29.99
1412956800,672,63,0.10,50.2,34.9,59.2,38.5,61.1,44.1,49.7,36.7,61.8,47.5,60.4,46.6,30.09

